figure_name,file_location,name_stat,type_stat,name_syst,type_syst,description,paper_location,x1_name,x1_units,x2_name,x2_units,y_name,y_units
Figure1_Panel1,data/etnchPbPb_proj.root,hetnch_0_0,TH2,,,NchRec v.s. Et,Page 10,Et,TeV,NchRec,,Counts,
Figure1_Panel2,data/hist_cvtremake.root,cvt_FCal_NchRec,TGraph,,,<NchRec> w.r.t. Et,Page 10,Et,TeV,,,<NchRec>,
Figure1_Panel3,data/hist_cvtremake.root,cvt_NchRec_FCal,TGraph,,,<Et> w.r.t. NchRec,Page 10,NchRec,,,,<Et>,TeV
Figure2_Panel1,data/etnchPbPb_proj.root,hEt,TH1,,,Et distribution,Page 11,Et,TeV,,,Events / 7 GeV,
Figure2_Panel2,data/etnchPbPb_proj.root,hNchRec,TH1,,,NchRec distribution,Page 11,NchRec,,,,Events / 5,
Figure3_Panel1_pt0,data/hist_PbPb502_binCent_bin1_paper.root,sts_v2_3sub_Har2_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt0,TGraphAsymmErrors,"v_2{2}, 3-subevent, 0.5<pT<5.0 GeV",Page 13,Centrality,,,,v_2{2},
Figure3_Panel1_pt1,data/hist_PbPb502_binCent_bin1_paper.root,sts_v2_3sub_Har2_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt2,TGraphAsymmErrors,"v_2{2}, 3-subevent, 1.0<pT<5.0 GeV",Page 13,Centrality,,,,v_2{2},
Figure3_Panel1_pt2,data/hist_PbPb502_binCent_bin1_paper.root,sts_v2_3sub_Har2_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt4,TGraphAsymmErrors,"v_2{2}, 3-subevent, 1.5<pT<5.0 GeV",Page 13,Centrality,,,,v_2{2},
Figure3_Panel1_pt3,data/hist_PbPb502_binCent_bin1_paper.root,sts_v2_3sub_Har2_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har2_Pt6,TGraphAsymmErrors,"v_2{2}, 3-subevent, 2.0<pT<5.0 GeV",Page 13,Centrality,,,,v_2{2},
Figure3_Panel2_pt0,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har3_Pt0,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt0,TGraphAsymmErrors,"v_3{2}, 3-subevent, 0.5<pT<5.0 GeV",Page 13,Centrality,,,,v_3{2},
Figure3_Panel2_pt1,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har3_Pt2,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt2,TGraphAsymmErrors,"v_3{2}, 3-subevent, 1.0<pT<5.0 GeV",Page 13,Centrality,,,,v_3{2},
Figure3_Panel2_pt2,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har3_Pt4,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt4,TGraphAsymmErrors,"v_3{2}, 3-subevent, 1.5<pT<5.0 GeV",Page 13,Centrality,,,,v_3{2},
Figure3_Panel2_pt3,data/hist_PbPb502_binCent_bin2_paper.root,sts_v2_3sub_Har3_Pt6,TGraphAsymmErrors,sys_v2_3sub_Har3_Pt6,TGraphAsymmErrors,"v_3{2}, 3-subevent, 2.0<pT<5.0 GeV",Page 13,Centrality,,,,v_3{2},
